diff,lwr,upr,p adj,comparison
12.566666666666675,8.037507561499313,17.095825771834036,4.1413590112782117e-7,2:1:1:4-1:1:1:4
4.866666666666669,0.33750756149930616,9.395825771834032,0.02979597075141227,3:1:1:4-1:1:1:4
4.133333333333331,-0.39582577183403167,8.662492438500694,0.08975793327896642,1:1:1:5-1:1:1:4
15.599999999999996,11.070840894832633,20.12915910516736,1.4095675848757594e-8,2:1:1:5-1:1:1:4
9.76666666666666,5.237507561499298,14.295825771834023,1.583089817702721e-5,3:1:1:5-1:1:1:4
7.19999999999999,2.6708408948326277,11.729159105167353,7.281924697933873e-4,1:1:1:6-1:1:1:4
33.63333333333334,29.104174228165977,38.162492438500706,6.750155989720952e-14,2:1:1:6-1:1:1:4
12.899999999999993,8.37084089483263,17.429159105167358,2.781377295146825e-7,3:1:1:6-1:1:1:4
-7.700000000000006,-12.22915910516737,-3.1708408948326436,3.340531021913673e-4,3:1:1:4-2:1:1:4
-8.433333333333344,-12.962492438500707,-3.9041742281659815,1.0945275265006327e-4,1:1:1:5-2:1:1:4
3.033333333333321,-1.495825771834042,7.5624924385006835,0.36648985820082625,2:1:1:5-2:1:1:4
-2.800000000000015,-7.329159105167378,1.7291591051673478,0.46398038734056146,3:1:1:5-2:1:1:4
-5.366666666666685,-9.895825771834048,-0.8375075614993222,0.01356415584649917,1:1:1:6-2:1:1:4
21.066666666666666,16.537507561499304,25.59582577183403,9.938050382629626e-11,2:1:1:6-2:1:1:4
0.33333333333331794,-4.195825771834045,4.862492438500681,0.9999989910781565,3:1:1:6-2:1:1:4
-0.7333333333333378,-5.262492438500701,3.795825771834025,0.9995856458822834,1:1:1:5-3:1:1:4
10.733333333333327,6.204174228165964,15.26249243850069,4.225427100434942e-6,2:1:1:5-3:1:1:4
4.8999999999999915,0.3708408948326287,9.429159105167354,0.02829089516584904,3:1:1:5-3:1:1:4
2.3333333333333215,-2.1958257718340413,6.862492438500684,0.67881787043160835,1:1:1:6-3:1:1:4
28.766666666666673,24.23750756149931,33.29582577183403,5.891953591685706e-13,2:1:1:6-3:1:1:4
8.033333333333324,3.5041742281659616,12.562492438500687,2.0030333341292117e-4,3:1:1:6-3:1:1:4
11.466666666666665,6.937507561499302,15.995825771834028,1.6227375567723357e-6,2:1:1:5-1:1:1:5
5.633333333333329,1.1041742281659666,10.162492438500692,0.008863993155011185,3:1:1:5-1:1:1:5
3.0666666666666593,-1.4624924385007034,7.595825771834022,0.3535666104787364,1:1:1:6-1:1:1:5
29.50000000000001,24.970840894832648,34.02915910516737,4.113376306236205e-13,2:1:1:6-1:1:1:5
8.766666666666662,4.237507561499299,13.295825771834025,6.669896089728233e-5,3:1:1:6-1:1:1:5
-5.833333333333336,-10.362492438500698,-1.304174228165973,0.006434219836591981,3:1:1:5-2:1:1:5
-8.400000000000006,-12.929159105167368,-3.870840894832643,1.150590617940983e-4,1:1:1:6-2:1:1:5
18.033333333333346,13.504174228165983,22.56249243850071,1.3539398491246857e-9,2:1:1:6-2:1:1:5
-2.700000000000003,-7.229159105167366,1.82915910516736,0.5088336238401536,3:1:1:6-2:1:1:5
-2.56666666666667,-7.095825771834033,1.9624924385006928,0.5703877483596307,1:1:1:6-3:1:1:5
23.86666666666668,19.33750756149932,28.395825771834044,1.065136867595129e-11,2:1:1:6-3:1:1:5
3.133333333333333,-1.39582577183403,7.662492438500696,0.328561126673394,3:1:1:6-3:1:1:5
26.43333333333335,21.90417422816599,30.962492438500714,2.0048407378681077e-12,2:1:1:6-1:1:1:6
5.700000000000003,1.17084089483264,10.229159105167366,0.00796688462077444,3:1:1:6-1:1:1:6
-20.73333333333335,-25.26249243850071,-16.204174228165986,1.31364585875815e-10,3:1:1:6-2:1:1:6
